BrandName,Deatils,Sizes,MRP,SellPrice,Discount,Category
life,regular fit regular length cotton lycra womens jeans - mid stone,"26,28,30,32",999,499,50% off,Westernwear
zink london,textured polyester round neck womens straight top - natural,"Large,Small,X-Small",1399,839,40% off,Westernwear
allen solly,printed stylized polyester womens fit and flare dress - grey,"Large,Medium,Small,X-Large",2499,1499,40% off,Westernwear
stop,solid polyester regular neck womens top - sage,"Large,Medium,Small,X-Large,XX-Large",1299,649,50% off,Westernwear
only,lace cotton collar neck womens top - red,"34,36,38,40,42",2499,1499,40% off,Westernwear
fratini,regular fit regular length cotton blend womens jeans - white,"28,30,32,34,36",1299,649,50% off,Westernwear
fratini,printed square neck polyester womens regular dress - pink,"Large,Medium,Small,X-Large,XX-Large",1699,849,50% off,Westernwear
van heusen,solid polyester v neck womens shirt - white,"Large,Medium,Small,X-Large,X-Small",1699,999,41% off,Westernwear
only,self design viscose square neck womens top - white,"34,36,38,40,42",2299,1379,40% off,Westernwear
life,printed blended round neck womens shift dress - navy,"Large,Medium,Small,X-Large,X-Small",1499,749,50% off,Westernwear
zink london,solid collar neck polyester womens casual shirt - green,"Medium,Small,XX-Large",1699,849,50% off,Westernwear
life,printed cotton lycra round neck womens t-shirt - sage,"Large,Medium,Small,X-Large,X-Small",699,349,50% off,Westernwear
faballey,embroidered cotton square neck womens regular dress - white,"Large,Medium,Small,X-Large,X-Small",2600,2080,20% off,Westernwear
life,printed cotton blend round neck womens t-shirt - black,"Large,Medium,Small,X-Large,X-Small",999,499,50% off,Westernwear
infuse,floral rayon v neck womens strappy dress - pista green,"Large,Medium,Small,X-Large,X-Small,XX-Large",1499,749,50% off,Westernwear
kraus,baggy fit ankle length cotton womens jeans - light blue,"28,30,32,34",1595,1116,30% off,Westernwear
life,printed cotton lycra round neck womens t-shirt - blue,"Large,Medium,Small,X-Large,X-Small",699,349,50% off,Westernwear
fratini,solid polyester blend round neck womens a-line dress - pink,"Large,Medium,Small,X-Large,XX-Large",1899,949,50% off,Westernwear
madame,solid polyester v neck womens top - blush,"Large,Medium,Small,X-Large,XX-Large",1699,1189,30% off,Westernwear
kraus,super skinny fit ankle length cotton blend womens jeans - dark blue,"28,30,32,34,36,38",1895,947,50% off,Westernwear
kraus,skinny fit full length cotton blend womens jeans - navy,"28,30,32,36",1895,947,50% off,Westernwear
stop,printed regular neck cotton womens formal shirt - white,"Large,Medium,Small,X-Large,XX-Large",899,449,50% off,Westernwear
life,regular fit regular length denim womens jeans - pink,"26,28,30,32,34,36",1999,999,50% off,Westernwear
zink london,printed cotton collar neck womens dress - blue,"Large,Medium,Small,X-Small,XX-Large",2899,1739,40% off,Westernwear
life,skinny fit regular length cotton lycra womens jeans - black,"26,28,30,32,34,36",999,499,50% off,Westernwear
stop,solid regular neck cotton blend womens formal shirt - powder blue,"Large,Medium,Small,X-Large,X-Small,XX-Large",899,449,50% off,Westernwear
altlife,solid polyester blend ankle length womens tights - misty lilac,"28,30,32,34,36",1299,649,50% off,Westernwear
life,solid cotton wide neck womens a-line dress - powder blue,"Large,Medium,Small,X-Large,X-Small",1699,849,50% off,Westernwear
allen solly,printed v-neck viscose womens fit and flare dress - black,"Large,Medium,Small,X-Large,X-Small",2499,1499,40% off,Westernwear
stop,solid regular fit polyester womens formal pants - black,"28,30,34,36",1699,849,50% off,Westernwear
and,solid polyester v neck womens regular dress - wine,"8,18",2899,2319,20% off,Westernwear
rare,floral polyester off shoulder womens regular top - blue,"Large,Small",999,499,50% off,Westernwear
zink london,stripes cotton round neck womens straight top - multi,"Large,Medium,Small,X-Large,X-Small",1399,699,50% off,Westernwear
life,fit above knee denim womens casual skirt - black,"26,28,30,32,34,36",1299,649,50% off,Westernwear
fratini,printed polyester round neck womens a-line dress - yellow,"Error Size,Large,Medium,Small,X-Large,XX-Large",1999,999,50% off,Westernwear
rare,floral polyester round neck womens flared dress - black,"Large,Medium,Small,X-Large",1999,899,55% off,Westernwear
latin quarters,solid polyester womens regular blouse - wine,"S,M,L,XL",1899,949,50% off,Westernwear
fratini,printed polyester blend round neck womens regular top - yellow,"Medium,Small",999,499,50% off,Westernwear
zink london,embroidered viscose mandarin womens top - blue,"Large,Medium,Small,X-Small,XX-Large",2199,1319,40% off,Westernwear
stop,solid regular neck cotton stretch womens formal shirt - bottle green,"Large,Small,X-Large,XX-Large",999,499,50% off,Westernwear
rare,half sleeves regular fit womens casual dress - navy,"Large,Medium,Small,X-Large",1999,899,55% off,Westernwear
latin quarters,printed polyester womens regular dress - red,"S,M,L,XL,XX-Large",2799,1959,30% off,Westernwear
zink london,solid polyester round neck womens top - navy,"Large,Medium,Small,X-Large,X-Small,XX-Large",1499,899,40% off,Westernwear
stop,solid collar neck cotton blend womens regular top - peach,"Large,X-Large,XX-Large",999,499,50% off,Westernwear
cover story,solid viscose collar neck womens top - peach,"Small,X-Small",2290,1603,30% off,Westernwear
stop,printed regular neck cotton womens formal shirt - black,"Large,Medium,Small,X-Large,X-Small,XX-Large",799,399,50% off,Westernwear
zink london,printed cotton round neck womens t-shirt - green,"Large,Medium,Small,X-Large,X-Small",799,479,40% off,Westernwear
zink london,floral rayon collar neck womens casual shirt - yellow,"Large,Medium,Small,X-Large,X-Small,XX-Large",1599,799,50% off,Westernwear
rare,floral georgette round neck womens flared dress - grey,"Large,Medium,Small",1899,854,55% off,Westernwear
van heusen,super slim fit regular cotton womens jeans - navy,"28,32,34",2199,999,55% off,Westernwear
life,printed cotton lycra round neck womens t-shirt - blue,"Large,Medium,Small,X-Large,X-Small",699,349,50% off,Westernwear
rare,solid polyester blend round neck womens a-line dress - black,"Small,X-Large",1699,764,55% off,Westernwear
life,striped cotton blend collar neck womens t-shirt - blue,"Large,Medium,Small,X-Large,X-Small",799,399,50% off,Westernwear
van heusen,textured polyester blend regular fit womens trousers - maroon,"26,34",2199,999,55% off,Westernwear
madame,solid cotton round neck womens regular top - off white,"Large,Medium,Small,X-Large",1199,599,50% off,Westernwear
life,regular fit regular length cotton lycra womens jeans - black,"26,28,30,32,34,36",1299,649,50% off,Westernwear
van heusen,solid polyester collar neck womens formal shirt - off white,X-Small,1699,999,41% off,Westernwear
rare,floral polyester round neck womens regular top - multi,"Large,Medium,Small,X-Large",1299,584,55% off,Westernwear
life,solid polyester blend round neck womens t-shirt - black,"Large,Medium,Small,X-Large,X-Small",999,499,50% off,Westernwear
only,stripes polyester round neck womens t-shirt - blue,"Large,Medium,Small,X-Large,X-Small",1799,1079,40% off,Westernwear
infuse,graphic cotton round neck womens regular fit t-shirt - yellow,"Large,Medium,Small,X-Large,X-Small",499,199,60% off,Westernwear
and,solid boat neck polyester womens straight dresses - multi,"6,8,10,12,14,16",2499,1999,20% off,Westernwear
rare,stripes polyester round neck womens regular top - navy,"Large,Medium,Small,X-Large",1199,539,55% off,Westernwear
life,solid polyester blend round neck womens t-shirt - dusty pink,"Large,Medium,Small,X-Large,X-Small",999,499,50% off,Westernwear
van heusen,solid polyester blend regular fit womens trousers - pink,26,1499,799,47% off,Westernwear
zink london,solid polyester round neck womens top - white,"Large,Medium,Small,X-Large,X-Small,XX-Large",1599,959,40% off,Westernwear
fratini,printed v-neck viscose womens woven top - pink,"Small,XX-Large",999,499,50% off,Westernwear
life,regular fit regular length denim womens jeans - charcoal,"26,28,30,32,34,36",1999,999,50% off,Westernwear
fratini,solid square neck polyester womens woven top - olive,"Large,Medium,X-Large,XX-Large",999,499,50% off,Westernwear
kraus,wide leg fit ankle length cotton womens jeans - dark blue,"28,30,32,34,36",1795,1256,30% off,Westernwear
madame,solid cotton round neck womens regular top - mauve,"Large,Medium,X-Large",1499,899,40% off,Westernwear
life,printed viscose collar neck womens shirt - white,"Large,Medium,Small,X-Large,X-Small",899,449,50% off,Westernwear
life,printed jersey round neck womens t-shirt - off white,"Large,Medium,Small,X-Large,X-Small",699,349,50% off,Westernwear
